Holding Ticker
CI 
MPC 
VLO 
ADM 
BRK
MET 
PRU 
ALL 
RE 
PSX 
AIG 
CVS 
MOS 
L 
CNC 
CAH 
WRK 
HPE 
PFG 
GL 
AFL 
TRV 
KHC 
DXC 
TAP 
HIG 
MRO 
TSN 
KR 
WBA 
XOM 
ABC 
BKR 
UHS 
HII 
BWA 
T 
HUM 
ELV 
LYB 
LNC 
CB 
C 
CFG 
GM 
IVZ 
PARA 
CVX 
PNW 
CTVA 
KMI 
MTB 
WFC 
PCG 
DOW 
CAG 
VTRS 
AIZ 
F 
IP 
WRB 
ED 
LDOS 
WHR 
BBY 
HSIC 
CHRW 
PHM 
HBAN 
SJM 
LEN 
DISH 
FDX 
PGR 
LUMN 
KEY 
WDC 
BK 
STT 
MHK 
WMT 
ETR 
ATO 
OMC 
ALK 
PCAR 
SYY 
TFC 
RTX 
EVRG 
FITB 
TMUS 
DD 
PPL 
EXC 
WAB 
SRE 
AEP 
NWSA 
EIX 
CEG 
TXT 
FOXA 
DUK 
DTE 
NI 
VZ 
GPN 
USB 
OGN 
DVA 
PNC 
EMN 
INTC 
WBD 
FIS 
FOX 
NWS
